age,gender,split,final
33,M,1:05:38,2:08:51
32,M,1:06:26,2:09:28
31,M,1:06:49,2:10:42
38,M,1:06:16,2:13:45
31,M,1:06:32,2:13:59
31,M,1:06:13,2:14:11
27,M,1:06:40,2:14:28
31,M,1:06:31,2:15:16
30,M,1:05:39,2:15:57
30,M,1:05:40,2:16:39
26,M,1:08:10,2:18:18
29,M,1:05:54,2:18:52
28,M,1:08:59,2:19:36
24,M,1:09:16,2:19:45
37,M,1:05:21,2:19:47
25,M,1:09:52,2:20:17
22,M,1:09:53,2:20:57
30,M,1:05:40,2:21:17
26,M,1:10:11,2:21:24
36,M,1:10:35,2:21:55
28,M,1:11:59,2:22:14
31,M,1:05:54,2:22:20
41,M,1:09:14,2:22:27
24,M,1:11:18,2:22:55
26,M,1:10:17,2:22:56
36,M,1:06:39,2:23:31
28,M,1:10:32,2:23:39
29,M,1:12:25,2:23:48
34,W,1:12:35,2:24:13
31,M,1:14:07,2:25:19
39,W,1:13:13,2:25:37
29,M,1:09:59,2:25:38
29,W,1:13:09,2:25:50
31,M,1:13:24,2:25:56
30,M,1:11:51,2:26:15
30,M,1:08:34,2:26:36
34,M,1:06:20,2:27:22
27,M,1:12:23,2:27:24
23,M,1:13:42,2:27:32
37,M,1:12:10,2:28:08
36,W,1:12:57,2:28:13
27,W,1:13:07,2:28:27
39,M,1:12:57,2:28:36
38,M,1:13:08,2:28:51
47,M,1:15:38,2:28:55
36,W,1:13:00,2:28:56
34,W,1:12:47,2:29:07
24,W,1:13:39,2:29:10
38,M,1:13:30,2:29:12
35,M,1:12:52,2:29:15
35,M,1:13:51,2:29:35
39,M,1:12:41,2:29:35
36,W,1:13:44,2:29:38
33,M,1:13:40,2:29:52
22,M,1:09:44,2:29:54
22,M,1:09:35,2:30:10
35,W,1:14:04,2:30:10
32,M,1:13:37,2:30:12
33,M,1:13:00,2:30:20
34,W,1:13:28,2:30:20
36,M,1:14:28,2:30:41
31,W,1:14:39,2:30:45
23,W,1:13:42,2:30:46
32,W,1:13:51,2:30:52
38,W,1:14:22,2:30:55
31,M,1:13:13,2:31:01
28,M,1:13:18,2:31:06
37,W,1:13:29,2:31:06
30,M,1:14:56,2:31:10
27,M,1:13:52,2:31:13
34,M,1:14:07,2:31:18
44,M,1:16:36,2:31:18
31,M,1:14:40,2:31:34
30,M,1:14:40,2:31:41
26,M,1:12:43,2:31:44
29,M,1:07:09,2:31:49
34,M,1:14:59,2:32:05
34,M,1:13:46,2:32:09
33,M,1:13:31,2:32:10
29,M,1:07:27,2:32:12
24,M,1:13:16,2:32:15
28,M,1:14:04,2:32:15
32,M,1:14:27,2:32:18
33,M,1:15:59,2:32:27
25,M,1:15:16,2:32:35
31,M,1:12:43,2:32:36
29,M,1:13:34,2:32:45
33,M,1:12:57,2:32:54
26,M,1:14:40,2:32:57
31,M,1:15:02,2:33:15
29,M,1:14:41,2:33:19
27,M,1:15:06,2:33:24
34,M,1:14:12,2:33:26
44,M,1:15:40,2:33:30
